"",PARAGRAPHS
615,Great product I am totally satisfied with this product It’s easy to use for cleaning It’s also very strong with vacuuming I bought two
616,GREAT GREAT GREAT Best vacuum cleaner I have ever bought and Ive bought quite a few\nover the years Lightweight and powerful with a spare battery to boot Whats not to like
617,Very happy Have a big upright Dyson and wanted a smaller cordless one Decided at last minute to purchase the LG Absolutely love this vacuum cleaner It’s very quiet and light weight but cleans just...
618,Absolutely love Its super easy to use \nVery durable and its very light to pick up Would recommend 100 \nIt has 2 batteries which really comes in handy
619,Cord free happiness Love the stand Makes me actually want to vacuum Living in HI and always having the breeze blow through means lots of soil particles in the air and lots of dust build up This va...
620,Couldnt be happier with the purchase If you are considering  go for it You will not be disappointed
621,Great vacuum easy to use powerful wife loves it Easy to assemble looks very good mounted love the adjustable power button wife loves using as its light weight and moves very easily
622,Excellent Cordless Vacuum I love this vacuum It is the second cordless vacuum I have owned The first one is a Tinco that I bought to quickly sweep our little travel trailer It is ok This one is gr...
623,LG cordless vac It been 25 month since purchase and it gets clogged every time I use it LG can have it back Waste of 450 bucks
624,Great Cordless Vacuum So far working great Love the stand and the dual battery system Great for hardwood floors and carpet The vacuum head is a little heavy compared to some of its competitors but...
625,I would but it again Easy assembly Light weight SUPER QUIET and cleans well Easy emptying Link it to wifi and LG app option for notifications for when it is done charging track how much it gets us...
626,Cant replace a Had it for about a week
627,Super lightweight and easy to use
628,The sucking power isnt as strong as my corded Dyson but it does the job for my hardwood floors Also because its so easy and fun to use I find myself vacuuming much more often
629,Only con is that it seems useless on rugs Itll get the debris on the uppermost layer but wont give it the deep clean that a corded vacuum does
630,James Brennan Very Handy cordless easy to use light weight and does a good job
631,Best Stick Vac I never liked the Dyson stick vac we had  it was loud smelly blew the exhaust right in your face jammed up frequently This vac is way quieter and seems to perform better The Kompres...
632,Lifesaver So much easier with cordless and still very powerful Multiple batteries useful too
633,Cordless is the way to go This vacuum is so easy to use It is light weight and so nice not to have a cord to deal with It switches between floor types seamlessly even the stairs It has good suctio...
634,A bad product Never worked at all Had to return the vacuum back to the store to get a full refund A big disappointment
635,Superior to Dyson in many ways Seems like quite a good vacuum I replaced my Dyson with this because the battery life on it was shot I did purchase this today and used it immediately so I dont have...
636,My wife loves this vacuum I bought this for my wife who is constantly vacuuming daily and was having trouble getting the Dyson to pick up dog hair off the rug Se thinks this is the best vacuum she...
